Link ID,Start Node,Start Node Eastings,Start Node Northings,Start Node Latitude,Start Node Longitude,End Node,End Node Eastings,End Node Northings,End Node Latitude,End Node Longitude,Region,Road Type
88821-888211,88821,837650.4,820182.864,22.32065356,114.190292,888211,837668.17,820248.692,22.32124801,114.1904645,K,MAJOR ROUTE
88822-888221,88822,835098.871,819181.09,22.31160711,114.1655275,888221,835058.429,819127.715,22.31112507,114.165135,K,URBAN ROAD
88824-34372,88824,837662.065,820185.169,22.32067437,114.1904052,34372,837354.848,819455.342,22.31408382,114.1874229,K,MAJOR ROUTE
88825-3484,88825,836306.663,819564.477,22.31506972,114.1772496,3484,836273.929,819369.685,22.31331063,114.1769319,K,MAJOR ROUTE
88827-34552,88827,836712.602,818694.748,22.30721548,114.1811893,34552,836588.377,818563.869,22.30603359,114.1799836,K,URBAN ROAD
88827-888303,88827,836712.602,818694.748,22.30721548,114.1811893,888303,836748.998,818560.257,22.30600094,114.1815425,K,URBAN ROAD
888131-3639,888131,840039.042,819687.873,22.31617992,114.2134751,3639,840935.412,818601.61,22.30636811,114.2221719,K,MAJOR ROUTE
888141-3637,888141,841171.818,818619.044,22.30652489,114.2244663,3637,841500.294,818838.784,22.30850831,114.2276549,K,MAJOR ROUTE
888151-3633,888151,842053.671,818696.967,22.30722585,114.233025,3633,842093.024,818642.008,22.3067294,114.2334068,K,MAJOR ROUTE
888161-3419,888161,837403.608,820809.184,22.32630978,114.1878971,3419,837531.387,820885.152,22.32699573,114.1891374,K,URBAN ROAD
888171-3644,888171,839124.326,821765.411,22.33494307,114.2046008,3644,839174.133,821171.9,22.32958324,114.2050832,K,MAJOR ROUTE
888181-3715,888181,837009.054,818365.583,22.30424282,114.1840662,3715,837030.317,817998.638,22.30092907,114.1842724,K,URBAN ROAD
888191-3459,888191,835889.633,817306.075,22.29467493,114.1732026,3459,835807.883,817301.615,22.29463463,114.1724093,K,URBAN ROAD
888201-3470,888201,835346.075,818138.176,22.30218911,114.1679273,3470,834889.426,818187.326,22.30263266,114.1634956,K,URBAN ROAD
888211-34221,888211,837668.17,820248.692,22.32124801,114.1904645,34221,837768.505,820483.126,22.32336501,114.1914386,K,MAJOR ROUTE
888221-3010,888221,835058.429,819127.715,22.31112507,114.165135,3010,835020.456,819072.594,22.31062727,114.1647665,K,URBAN ROAD
888231-3503,888231,836009.355,819775.102,22.31697177,114.174364,3503,835971.906,819718.872,22.31646397,114.1740005,K,URBAN ROAD
888241-88824,888241,837675.498,820244.302,22.32120836,114.1905357,88824,837662.065,820185.169,22.32067437,114.1904052,K,MAJOR ROUTE
