ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
991078-992229,823620.6967,825310.1979,22.366910311,114.054078507
991079-992232,824856.6812,825266.1795,22.366521457,114.066079289
991080-992235,825828.2039,825841.9638,22.371727271,114.075508249
991081-992238,826831.6998,825612.2456,22.369658601,114.085253128
991082-992241,827736.9574,825668.9848,22.370175721,114.094042367
991084-992246,815819.7469,828269.5726,22.393559703,113.978299486
991085-992248,816099.9254,827359.8492,22.385347797,113.981031813
991086-992252,816270.7124,826551.9731,22.378054293,113.982700359
991087-992254,817318.9023,825987.9259,22.372972564,113.992884954
991088-992258,818107.4607,825394.7858,22.367624738,114.000548309
991089-992261,819094.7939,825255.4226,22.366376374,114.010136086
991090-992264,820136.1079,824196.292,22.356821977,114.020257085
991091-992267,821396.1316,824152.1953,22.356435127,114.032490468
991092-992270,822407.8636,824628.0355,22.360740672,114.042308745
991093-992273,823988.1326,825194.2307,22.365865733,114.05764692
991094-992276,824283.6024,825405.292,22.367773813,114.060514102
991095-992279,825233.3743,825066.7019,22.36472253,114.069738061
991096-992282,826320.3301,825715.3752,22.37058703,114.080287375
991097-992285,827352.0559,825377.0429,22.367537376,114.090306806
992001-992002,839747.8294,831690.1189,22.42456725,114.210674887
992002-992003,839764.0805,831678.4641,22.424461969,114.210832713
992003-991002,839779.5942,831665.8416,22.42434795,114.210983374
992004-992005,840053.0248,830895.8993,22.417394418,114.21363744
992005-992006,840053.0248,830895.8993,22.417394418,114.21363744
992006-991003,840049.3542,830876.239,22.417216884,114.213601742
992007-993001,839961.5617,830412.7727,22.41303175,114.212747959
992008-992009,839643.6913,829651.1238,22.406154341,114.20965904
992009-991004,839626.6447,829640.6637,22.406059915,114.209493462
992010-992011,839438.147,829524.2363,22.405008877,114.207662545
992011-992012,839421.952,829512.5007,22.404902928,114.207505238
992012-991005,839405.757,829500.7652,22.404796981,114.20734793
992013-992040,839136.072,829240.4802,22.40244695,114.204728311
992014-992015,840056.0118,830033.497,22.409606497,114.213664399
992015-991006,840070.5651,830019.7784,22.40948258,114.213805711
