ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
888141-3637,841171.818,818619.044,22.306524893,114.224466294
888151-3633,842053.671,818696.967,22.307225846,114.233025025
888161-3419,837403.608,820809.184,22.326309783,114.187897081
888171-3644,839124.326,821765.411,22.334943068,114.204600847
888181-3715,837009.054,818365.583,22.304242819,114.184066226
888191-3459,835889.633,817306.075,22.294674929,114.173202581
888201-3470,835346.075,818138.176,22.302189111,114.167927276
888211-34221,837668.17,820248.692,22.321248014,114.190464546
888221-3010,835058.429,819127.715,22.311125073,114.165134991
888231-3503,836009.355,819775.102,22.316971769,114.174364003
888241-88824,837675.498,820244.302,22.321208364,114.190535669
888301-3692,834711.437,818893.39,22.309008699,114.161767523
888302-888303,836661.066,818660.839,22.306909276,114.180689103
888303-3453,836748.998,818560.257,22.306000937,114.181542462
991001-992001,839366.623,831956.751,22.426975798,114.20697265
991002-992004,839779.5942,831665.8416,22.42434795,114.210983374
991003-992007,840045.5985,830856.5948,22.417039496,114.213565217
991004-992010,839626.6447,829640.6637,22.406059915,114.209493462
991005-992013,839405.757,829500.7652,22.404796981,114.20734793
991006-992016,840070.5651,830019.7784,22.40948258,114.213805711
991007-992019,840490.1867,829644.7296,22.40609472,114.21788017
991008-992022,839952.6525,828933.4681,22.399672914,114.212658005
991009-992025,839637.9304,828139.0579,22.392499635,114.20959989
991010-992028,839740.3615,827835.4641,22.389757822,114.21059394
991011-992031,839804.9982,827644.9759,22.388037484,114.211221194
991012-992034,839711.674,826746.8869,22.379927462,114.210313008
991013-992037,839807.1027,826543.7115,22.378092487,114.211239185
991015-992042,839111.0813,829209.2483,22.402164952,114.204485553
991016-992045,838796.4868,828696.9862,22.397539461,114.20142949
991017-992048,838612.2601,828386.4564,22.394735481,114.199639936
991018-992051,837938.7638,827712.2549,22.388647885,114.193098779
991019-992054,837594.6015,827298.4258,22.384911095,114.189756354
991020-992057,837263.76,826834.5752,22.380722506,114.186543424
991021-992060,838517.5981,828032.8572,22.391542426,114.198720156
991022-992063,838801.8698,827158.2589,22.383643953,114.201479318
991023-992066,838722.7843,826856.6227,22.380920136,114.2007109
991024-992069,838054.3346,826093.5234,22.374029773,114.194219243
991025-992072,838242.7559,826686.7859,22.379387041,114.196049503
991026-992075,837659.7936,827198.7015,22.384010481,114.190389315
991027-992078,839415.3356,826793.7356,22.3803511,114.207435607
991028-992083,838945.8334,826497.5147,22.377676867,114.202876154
991029-992084,838942.7616,826506.0542,22.377753988,114.202846341
991030-992086,836656.6604,825230.9441,22.366241106,114.180647961
991031-992090,836206.7041,825612.9401,22.369690781,114.176279226
991032-992093,837360.8479,826311.0536,22.375994769,114.187485809
991033-992098,837474.4798,825673.9347,22.370241169,114.188588679
991034-992101,837199.7423,825298.8755,22.366854353,114.185920898
991035-992104,836829.4388,825077.9264,22.364859225,114.182325449
991035-992105,836829.4388,825077.9264,22.364859225,114.182325449
991036-992108,836598.4275,824923.0784,22.363460924,114.180082501
991037-992111,836183.6178,824539.7161,22.359998983,114.176055125
